Time,Time Code,Country Name,Country Code,"Adjusted net attendance rate, one year before the official primary entry age, both sexes (%) [UIS.NARA.AGM1]","Adjusted net attendance rate, one year before the official primary entry age, female (%) [UIS.NARA.AGM1.F]","Adjusted net attendance rate, one year before the official primary entry age, male (%) [UIS.NARA.AGM1.M]","Adjusted net attendance rate, one year before the official primary entry age, rural, both sexes (%) [UIS.NARA.AGM1.RUR]","Adjusted net attendance rate, one year before the official primary entry age, urban, both sexes (%) [UIS.NARA.AGM1.URB]",Capital expenditure as % of total expenditure in lower secondary public institutions (%) [UIS.XSPENDP.2.FDPUB.FNCAP],Capital expenditure as % of total expenditure in post-secondary non-tertiary public institutions (%) [UIS.XSPENDP.4.FDPUB.FNCAP],Capital expenditure as % of total expenditure in pre-primary public institutions (%) [UIS.XSPENDP.0.FDPUB.FNCAP],Capital expenditure as % of total expenditure in primary public institutions (%) [UIS.XSPENDP.1.FDPUB.FNCAP],Capital expenditure as % of total expenditure in public institutions (%) [UIS.XSPENDP.FDPUB.FNCAP],Capital expenditure as % of total expenditure in secondary public institutions (%) [UIS.XSPENDP.23.FDPUB.FNCAP],Capital expenditure as % of total expenditure in tertiary public institutions (%) [UIS.XSPENDP.56.FDPUB.FNCAP],Capital expenditure as % of total expenditure in upper-secondary public institutions (%) [UIS.XSPENDP.3.FDPUB.FNCAP],"Completion rate, lower secondary education, both sexes (%) [UIS.CR.2]","Completion rate, primary education, both sexes (%) [UIS.CR.1]","Completion rate, upper secondary education, fourth quintile, both sexes (%) [UIS.CR.3.Q4]"
2017,YR2017,Afghanistan,AFG,..,..,..,..,..,10.7379,36.60568,..,11.359,..,10.6359,..,10.43118,..,..,..
2017,YR2017,Albania,ALB,79.83601,80.85634,78.91849,82.24261,78.08852,9.83574,..,..,6.55818,8.29946,14.02526,7.75057,30.48661,93.65541,94.95685,88.44262
2017,YR2017,Algeria,DZA,..,..,..,..,..,0.00271,..,..,..,..,0.0025,..,0.00232,..,..,..
2017,YR2017,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Andorra,AND,..,..,..,..,..,1.0652,..,1.10259,1.13272,0.72978,1.08175,0.82579,1.11388,..,..,..
2017,YR2017,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Antigua and Barbuda,ATG,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..
2017,YR2017,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Argentina,ARG,..,..,..,..,93.43,12.25551,..,11.33565,11.63916,10.90624,13.82762,4.55454,16.07176,..,..,..
2017,YR2017,Armenia,ARM,..,..,..,..,..,..,..,0,..,12.41132,..,1.07007,..,..,..,..
2017,YR2017,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Australia,AUS,..,..,..,..,..,6.96694,5.56847,..,7.13343,..,6.96609,11.38577,6.96482,..,..,..
2017,YR2017,Austria,AUT,..,..,..,..,..,4.42642,0.14587,12.125,8.32039,6.69433,3.39591,8.59678,2.03154,..,..,..
2017,YR2017,Azerbaijan,AZE,..,..,..,..,..,..,..,4.5162,..,1.29493,..,0.92289,..,..,..,..
2017,YR2017,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Barbados,BRB,..,..,..,..,..,..,..,..,..,4.44682,..,..,..,..,..,..
2017,YR2017,Belarus,BLR,..,..,..,..,..,..,3.15627,6.43489,..,5.63218,5.09785,5.90846,..,..,..,..
2017,YR2017,Belgium,BEL,..,..,..,..,..,3.64405,..,7.57957,6.0573,5.12868,..,4.90657,..,..,..,..
2017,YR2017,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,10.60467,..,..,..,..,..
2017,YR2017,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Bolivia,BOL,77.88,80.44,75.67,71.36,80.79,..,..,..,..,..,..,..,..,91,97.31,78.93
2017,YR2017,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Brazil,BRA,94.98,95.67,94.37,93.74,95.23,1.99654,..,..,2.2319,2.47763,2.27087,2.64966,2.59051,84.37,94.74,78.02
2017,YR2017,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Bulgaria,BGR,..,..,..,..,..,3.72458,0.55227,4.53445,4.00113,4.49426,3.39508,6.14915,3.07354,..,..,..
2017,YR2017,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Burundi,BDI,51.46512,48.92987,54.05178,48.29829,80.85067,..,..,..,..,..,..,..,..,27.23233,53.34742,8.61574
2017,YR2017,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,10.35371,8.05482,..,..,..
2017,YR2017,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Chile,CHL,96.33,95.77,96.87,92.73,96.78,6.21829,..,8.06937,5.73333,6.49373,6.46867,3.56098,6.62605,95.9,96.3,90.29
2017,YR2017,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Colombia,COL,88.5,89.26,87.79,80.62,91.6,4.99359,..,4.98786,4.98997,23.84776,4.99447,50.70186,4.99687,75.99,92.66,83.06
2017,YR2017,Comoros,COM,..,..,..,..,..,6.94081,..,..,3.53342,..,..,..,..,..,..,..
2017,YR2017,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Costa Rica,CRI,86.5,88.65,84.35,81.23,89.01,0.17899,..,0.21993,9.60987,4.40121,4.38671,..,11.34853,68.2,96.15,68.21
2017,YR2017,Cote d'Ivoire,CIV,..,..,..,..,..,6.09472,..,0.76939,0.78329,6.4653,8.29245,17.54276,12.8526,..,..,..
2017,YR2017,Croatia,HRV,..,..,..,..,..,..,..,3.33827,2.68328,4.19434,..,8.65267,2.22598,..,..,..
2017,YR2017,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Cyprus,CYP,..,..,..,..,..,1.91698,..,3.15496,4.38095,7.71499,2.84497,25.64143,3.63018,..,..,..
2017,YR2017,Czech Republic,CZE,..,..,..,..,..,9.74958,6.25,10.7581,9.80118,8.76472,7.95787,7.01981,5.75709,..,..,..
2017,YR2017,Denmark,DNK,..,..,..,..,..,9.64424,..,3.75886,9.64424,5.62987,5.28543,3.41006,1.74877,..,..,..
2017,YR2017,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,Dominican Republic,DOM,95.82,96.38,95.25,95.88,95.81,13.89968,..,10.49653,11.44041,..,14.19978,..,14.39234,87.57,93.87,71.5
2017,YR2017,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,YR2017,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
